thi  ths  tho  thp  weight      mises      stiff_y        stiff_z
4    4    4    4    0.217256    192.045    6.31216e+07    6.18521e+07    
4    4    4    5    0.229334    204.24    6.46919e+07    6.36156e+07    
4    4    4    6    0.242389    185.189    6.59229e+07    6.51286e+07    
4    4    5    2    0.191207    188.603    5.59438e+07    5.98021e+07    
4    4    5    3    0.202585    193.051    6.38366e+07    6.35753e+07    
4    4    5    4    0.224863    188.19    6.81964e+07    6.61374e+07    
4    4    5    5    0.236941    200.047    7.00077e+07    6.80461e+07    
4    4    5    6    0.249995    181.332    7.13643e+07    6.9652e+07    
4    4    6    2    0.198825    185.595    5.8455e+07    6.32848e+07    
4    4    6    3    0.210203    189.791    6.69e+07    6.73246e+07    
4    4    6    4    0.232481    184.935    7.25912e+07    7.00349e+07    
4    4    6    5    0.244559    196.529    7.47581e+07    7.20476e+07    
4    4    6    6    0.257614    178.047    7.62747e+07    7.37501e+07    
4    4    7    2    0.206454    182.98    6.07116e+07    6.64725e+07    
4    4    7    3    0.217833    186.933    6.96702e+07    7.0756e+07    
4    4    7    4    0.24011    182.059    7.56957e+07    7.36048e+07    
4    4    7    5    0.252188    193.383    7.91223e+07    7.5726e+07    
4    4    7    6    0.265243    175.157    8.0775e+07    7.75126e+07    
4    4    8    2    0.214094    180.571    6.28184e+07    6.94673e+07    
4    4    8    3    0.225473    184.333    7.22392e+07    7.39696e+07    
4    4    8    4    0.247751    179.471    7.85819e+07    7.69578e+07    
4    4    8    5    0.259829    190.547    8.31762e+07    7.91615e+07    
4    4    8    6    0.272883    172.546    8.4952e+07    8.10133e+07    
4    4    9    2    0.221746    178.347    6.48021e+07    7.16662e+07    
4    4    9    3    0.233125    181.922    7.46536e+07    7.70097e+07    
4    4    9    4    0.255402    177.039    8.12991e+07    8.01239e+07    
4    4    9    5    0.26748    187.887    8.61937e+07    8.24321e+07    
4    4    9    6    0.280535    170.116    8.89081e+07    8.43455e+07    
4    4    10    2    0.229409    176.204    6.67282e+07    7.33659e+07    
4    4    10    3    0.240787    179.596    7.70236e+07    8.00055e+07    
4    4    10    4    0.263065    174.692    8.39546e+07    8.32178e+07    
4    4    10    5    0.275143    185.379    8.90593e+07    8.56203e+07    
4    4    10    6    0.288198    167.789    9.27439e+07    8.7622e+07    
4    5    4    2    0.190519    190.384    5.39118e+07    6.025e+07    
4    5    4    3    0.201897    195.14    6.14559e+07    6.40592e+07    
4    5    4    4    0.224174    190.344    6.61553e+07    6.66423e+07    
4    5    4    5    0.236252    202.447    6.78825e+07    6.85123e+07    
4    5    4    6    0.249309    183.559    6.92357e+07    7.00344e+07    
4    5    5    2    0.198126    186.949    5.67048e+07    6.43635e+07    
4    5    5    3    0.209504    191.406    6.48439e+07    6.85174e+07    
4    5    5    4    0.231781    186.603    7.03642e+07    7.12511e+07    
4    5    5    5    0.243859    198.378    7.33179e+07    7.32768e+07    
4    5    5    6    0.256916    179.816    7.47979e+07    7.48877e+07    
4    5    6    2    0.205744    184.021    5.91988e+07    6.72327e+07    
4    5    6    3    0.217122    188.235    6.78857e+07    7.25616e+07    
4    5    6    4    0.239399    183.436    7.37569e+07    7.54426e+07    
4    5    6    5    0.251477    194.955    7.80755e+07    7.75822e+07    
4    5    6    6    0.264534    176.621    7.98233e+07    7.92867e+07    
4    5    7    2    0.213373    181.47    6.14379e+07    6.91389e+07    
4    5    7    3    0.224751    185.449    7.06352e+07    7.62482e+07    
4    5    7    4    0.247028    180.633    7.68401e+07    7.92814e+07    
4    5    7    5    0.259106    191.888    8.14087e+07    8.15374e+07    
4    5    7    6    0.272163    173.805    8.44324e+07    8.33299e+07    
4    5    8    2    0.221014    179.117    6.35305e+07    7.09145e+07    
4    5    8    3    0.232392    182.912    7.31891e+07    7.97055e+07    
4    5    8    4    0.254669    178.107    7.97091e+07    8.28867e+07    
4    5    8    5    0.266747    189.12    8.4501e+07    8.52365e+07    
4    5    8    6    0.279803    171.258    8.82278e+07    8.70903e+07    
4    5    9    2    0.228665    176.939    6.55042e+07    7.25608e+07    
4    5    9    3    0.240043    180.556    7.55906e+07    8.18966e+07    
4    5    9    4    0.26232    175.731    8.24126e+07    8.62913e+07    
4    5    9    5    0.274398    186.521    8.74542e+07    8.87582e+07    
4    5    9    6    0.287455    168.884    9.13422e+07    9.06731e+07    
4    5    10    2    0.236328    174.843    6.74193e+07    7.42402e+07    
4    5    10    3    0.247706    178.28    7.79478e+07    8.38198e+07    
4    5    10    4    0.269983    173.436    8.50542e+07    8.96202e+07    
4    5    10    5    0.282061    184.069    9.03056e+07    9.21938e+07    
4    5    10    6    0.295118    166.607    9.43837e+07    9.41964e+07    
4    6    4    2    0.197454    188.238    5.48184e+07    6.25155e+07    
4    6    4    3    0.208831    193    6.26612e+07    6.87088e+07    
4    6    4    4    0.231107    188.274    6.80302e+07    7.15193e+07    
4    6    4    5    0.243185    200.259    7.11469e+07    7.35573e+07    
4    6    4    6    0.256244    181.546    7.26355e+07    7.51733e+07    
4    6    5    2    0.205061    184.914    5.75889e+07    6.60801e+07    
4    6    5    3    0.216438    189.386    6.60185e+07    7.33991e+07    
4    6    5    4    0.238714    184.655    7.17761e+07    7.64048e+07    
4    6    5    5    0.250792    196.322    7.60165e+07    7.86073e+07    
4    6    5    6    0.263851    177.929    7.83035e+07    8.0317e+07    
4    6    6    2    0.212679    182.072    6.0058e+07    6.83888e+07    
4    6    6    3    0.224056    186.312    6.90357e+07    7.72308e+07    
4    6    6    4    0.246332    181.586    7.51426e+07    8.08466e+07    
4    6    6    5    0.25841    193.005    7.96429e+07    8.31735e+07    
4    6    6    6    0.271469    174.835    8.31675e+07    8.49803e+07    
4    6    7    2    0.220308    179.594    6.22803e+07    7.02596e+07    
4    6    7    3    0.231685    183.607    7.17652e+07    7.94074e+07    
4    6    7    4    0.253961    178.864    7.82027e+07    8.49224e+07    
4    6    7    5    0.266039    190.028    8.29531e+07    8.73673e+07    
4    6    7    6    0.279098    172.103    8.66653e+07    8.92663e+07    
4    6    8    2    0.227948    177.305    6.4358e+07    7.20053e+07    
4    6    8    3    0.239326    181.14    7.43001e+07    8.14133e+07    
4    6    8    4    0.261602    176.409    8.1053e+07    8.77058e+07    
4    6    8    5    0.27368    187.338    8.60268e+07    9.12923e+07    
4    6    8    6    0.286738    169.629    8.99161e+07    9.32562e+07    
4    6    9    2    0.2356    175.181    6.63163e+07    7.36252e+07    
4    6    9    3    0.246977    178.847    7.66866e+07    8.33033e+07    
4    6    9    4    0.269253    174.097    8.3741e+07    8.97493e+07    
4    6    9    5    0.281331    184.81    8.89605e+07    9.43906e+07    
4    6    9    6    0.29439    167.32    9.30134e+07    9.7057e+07    
4    6    10    2    0.243263    173.138    6.8219e+07    7.52824e+07    
4    6    10    3    0.25464    176.629    7.90294e+07    8.51991e+07    
4    6    10    4    0.276916    171.861    8.63667e+07    9.17991e+07    
4    6    10    5    0.288994    182.419    9.17961e+07    9.65559e+07    
4    6    10    6    0.302053    165.104    9.60371e+07    1.00253e+08    
4    7    4    2    0.204403    185.765    5.58201e+07    6.39087e+07    
4    7    4    3    0.21578    190.505    6.4016e+07    7.14377e+07    
4    7    4    4    0.238055    185.866    6.96587e+07    7.63877e+07    
4    7    4    5    0.250133    197.705    7.38136e+07    7.86481e+07    
4    7    4    6    0.263194    179.199    7.61812e+07    8.04338e+07    
4    7    5    2    0.21201    182.556    5.8562e+07    6.74117e+07    
4    7    5    3    0.223387    187.018    6.73411e+07    7.57868e+07    
4    7    5    4    0.245662    182.377    7.33702e+07    8.14015e+07    
4    7    5    5    0.25774    193.912    7.78392e+07    8.39338e+07    
4    7    5    6    0.270801    175.716    8.13323e+07    8.58227e+07    
4    7    6    2    0.219629    179.805    6.1007e+07    6.96423e+07    
4    7    6    3    0.231005    184.048    7.0332e+07    7.89222e+07    
4    7    6    4    0.253281    179.413    7.67074e+07    8.52019e+07    
4    7    6    5    0.265358    190.708    8.14385e+07    8.87143e+07    
4    7    6    6    0.278419    172.731    8.51482e+07    9.07069e+07    
4    7    7    2    0.227258    177.404    6.32081e+07    7.14734e+07    
4    7    7    3    0.238634    181.43    7.30387e+07    8.105e+07    
4    7    7    4    0.26091    176.781    7.97436e+07    8.75252e+07    
4    7    7    5    0.272987    187.831    8.47243e+07    9.22065e+07    
4    7    7    6    0.286048    170.092    8.86193e+07    9.51958e+07    
4    7    8    2    0.234898    175.184    6.52684e+07    7.31866e+07    
4    7    8    3    0.246275    179.041    7.55547e+07    8.30153e+07    
